[[{'weights': [0.13436424411240122, 0.8474337369372327, 0.763774618976614]}, {'weights': [0.2550690257394217, 0.49543508709194095, 0.4494910647887381]}], [{'weights': [0.651592972722763, 0.7887233511355132, 0.0938595867742349]}, {'weights': [0.02834747652200631, 0.8357651039198697, 0.43276706790505337]}]]
>epoch=0, lrate=0.500, error=6.349932
>epoch=1, lrate=0.500, error=5.556985
>epoch=2, lrate=0.500, error=5.330198
>epoch=3, lrate=0.500, error=5.327741
>epoch=4, lrate=0.500, error=5.348768
>epoch=5, lrate=0.500, error=5.362196
>epoch=6, lrate=0.500, error=5.368997
>epoch=7, lrate=0.500, error=5.372220
>epoch=8, lrate=0.500, error=5.373709
>epoch=9, lrate=0.500, error=5.374390
>epoch=10, lrate=0.500, error=5.374700
>epoch=11, lrate=0.500, error=5.374841
>epoch=12, lrate=0.500, error=5.374905
>epoch=13, lrate=0.500, error=5.374934
>epoch=14, lrate=0.500, error=5.374947
>epoch=15, lrate=0.500, error=5.374953
>epoch=16, lrate=0.500, error=5.374955
>epoch=17, lrate=0.500, error=5.374957
>epoch=18, lrate=0.500, error=5.374957
>epoch=19, lrate=0.500, error=5.374957
[{'weights': [0.13436424411240122, 0.8474337369372327, 0.763774618976614], 'output': 0.99157530623528}, {'weights': [0.2550690257394217, 0.49543508709194095, 0.4494910647887381], 'output': 0.9844051047537846}]
[{'weights': [0.651592972722763, 0.7887233511355132, -1.8301525930435465], 'output': 0.43857724779659135, 'delta': -0.1079896676690827}, {'weights': [0.02834747652200631, 0.8357651039198697, -0.34425193162372175], 'output': 0.5886472378166195, 'delta': 0.09960564365371435}]
